LoadingProb,MoveSteps_zebra,MoveSteps_zebra_std,MoveSteps_checker,MoveSteps_checker_std,MoveSteps_separate,MoveSteps_separate_std
7.600000000000000000e+01,9.905040322580644840e+01,2.059604467583574205e+01,7.852958876629890028e+01,1.204673185459541074e+01,2.633571428571428328e+02,3.565786813721065585e+01
7.800000000000000000e+01,1.000345177664974585e+02,2.188587905305179149e+01,7.997297297297296836e+01,1.288659515174101955e+01,2.728054298642533695e+02,3.855751028627043553e+01
8.000000000000000000e+01,1.004648318042813457e+02,2.169743843299870534e+01,7.917917917917917237e+01,1.317172810789363346e+01,2.788358208955223745e+02,4.391339181326166141e+01
8.200000000000000000e+01,9.875389408099688637e+01,2.257372076225195201e+01,7.971099999999999852e+01,1.381743387898056952e+01,2.856084905660377444e+02,4.443346227135268123e+01
8.400000000000000000e+01,1.022093517534537739e+02,2.294404221170051272e+01,8.212951807228915868e+01,1.451955792778650967e+01,2.933141025641025408e+02,4.824255017379918797e+01
8.600000000000000000e+01,1.027526539278131565e+02,2.411247019845367845e+01,8.360320641282565646e+01,1.515203081488119174e+01,3.060205479452054647e+02,4.966745153685167224e+01
8.800000000000000000e+01,1.059760609357997794e+02,2.644787662057787259e+01,8.647394789579158214e+01,1.597012562474794883e+01,3.150944881889763565e+02,6.384262553938138041e+01
9.000000000000000000e+01,1.121195039458850005e+02,2.723345422161389706e+01,9.004408817635270168e+01,1.632234351789204752e+01,3.215454545454545610e+02,6.231060560007367854e+01
9.200000000000000000e+01,1.168135990621336475e+02,2.654760510391979622e+01,9.587851405622490120e+01,1.693266549732144099e+01,3.500958904109589298e+02,5.631738931516322566e+01
9.400000000000000000e+01,1.221963589076723053e+02,2.693602085520943490e+01,1.020485338725985827e+02,1.832279021955563181e+01,3.816800000000000068e+02,8.266884298210541715e+01
9.600000000000000000e+01,1.289300291545189623e+02,2.779848983353932113e+01,1.072236976506639365e+02,1.703592341594123027e+01,3.896842105263157805e+02,6.734518513760903602e+01
9.800000000000000000e+01,1.330861344537815114e+02,2.754429086048744679e+01,1.154504792332268437e+02,2.096836826797578368e+01,5.033333333333333144e+02,8.413019011561121374e+01
1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
