LoadingProb,MoveSteps_zebra,MoveSteps_zebra_std,MoveSteps_checker,MoveSteps_checker_std,MoveSteps_separate,MoveSteps_separate_std
7.600000000000000000e+01,1.266989999999999981e+02,1.460131497502879050e+01,1.190960000000000036e+02,1.141992924671602339e+01,3.083580000000000041e+02,4.966586187714857914e+01
7.800000000000000000e+01,1.240739999999999981e+02,1.410852664171564008e+01,1.169819999999999993e+02,1.098224366875913027e+01,3.106449999999999818e+02,5.250713261072251470e+01
8.000000000000000000e+01,1.219389999999999930e+02,1.331109608559715873e+01,1.140250000000000057e+02,1.110208876743471151e+01,3.086469999999999914e+02,5.027206372330461193e+01
8.200000000000000000e+01,1.201580000000000013e+02,1.448513154928183511e+01,1.112729999999999961e+02,1.096460081352713800e+01,3.070640000000000214e+02,5.186168049726117601e+01
8.400000000000000000e+01,1.200720000000000027e+02,1.503864408781589646e+01,1.100889999999999986e+02,1.178826021938776059e+01,3.042719999999999914e+02,4.985129904024567793e+01
8.600000000000000000e+01,1.173550000000000040e+02,1.389363073498068601e+01,1.071880000000000024e+02,1.053331172993565268e+01,3.042590000000000146e+02,5.005159257206507561e+01
8.800000000000000000e+01,1.159980000000000047e+02,1.458567776964786766e+01,1.055570000000000022e+02,1.042222389895745849e+01,3.030140000000000100e+02,5.029365570327931323e+01
9.000000000000000000e+01,1.151929999999999978e+02,1.471936652848892102e+01,1.043739999999999952e+02,1.019323913189521846e+01,3.010430000000000064e+02,4.848605109719702000e+01
9.200000000000000000e+01,1.137139999999999986e+02,1.488771990601650153e+01,1.018689999999999998e+02,1.009186994565427398e+01,3.014639999999999986e+02,5.022189466756505993e+01
9.400000000000000000e+01,1.123460000000000036e+02,1.484352666989890324e+01,9.970799999999999841e+01,1.027670842244733507e+01,2.968949999999999818e+02,4.892379763468899512e+01
9.600000000000000000e+01,1.099639999999999986e+02,1.425211226450311131e+01,9.676600000000000534e+01,9.667535570144027091e+00,2.931569999999999823e+02,4.442312855934395088e+01
9.800000000000000000e+01,1.079440000000000026e+02,1.443228547389497862e+01,9.468500000000000227e+01,1.012322947482669733e+01,2.885160000000000196e+02,4.475434888365598596e+01
1.000000000000000000e+02,1.047660000000000053e+02,1.353082569542598179e+01,9.085599999999999454e+01,9.484896625688653771e+00,2.857919999999999732e+02,4.440108935600567008e+01
